text:hello how are you today?	labels:i'm great thanks! how are you doing?
text:a boy man can?	labels:khel badal  dismantle patriarchy       40    www  videovolunteers  orgpart ii     reporting ongender based violencewhile reporting on cases of gender based violence  you must follow the protocols givenbelow  if you hear of a case of gender based violence in your community  find a suitable timeto meet the survivor and her family  remember  that the survivor and her family have beenthrough trauma  sensitivity to the survivor and her family should be at the heart of your filmingand steps to help theminformed consentensure that you have informed consent of the survivor before you interview her  inother words  this means that you must have the survivor s permission to film her storywith full knowledge of the consequences of your video reportyou must clearly explain good and bad consequences of filming to the survivor and herfamilyyou must    inform the survivor that the video will be circulated widely  it may also beseen by the attacker and therefore  may have a bearing on the survivor s security andsafetyhelp the survivor understand the reason you are filming and the importance of herspeaking upif you are reporting on a case of gender based violence leading to death  you needinformed consent of the victim s familyif the survivor is a minor i e under 18 years of age  the informed consent has to be givenby her parents legal guardian  merely taking the minor s consent is not enoughplease bear in mind that filming a minor  in any situation  without parent legal guardian sconsent is against the law  protection of children from sexual offences act  2012identity of the survivor and her familyrevealing the identity of a rape survivor is a punishable offence under the indian penal codewith up to 2 years imprisonment  without fine  the law makes an exception to this  whena  a police officer conducting the investigation authorises it in good faithb  the survivor authorizes it in writing orc  when the next kin of the survivor or victim authorizes itkhel badal  dismantle patriarchy       41    www  videovolunteers  orgwhile the law authorizes a police officer conducting the investigation to reveal asurvivor s identity in  good faith   you will not reveal the survivor s identityunless you have her or her family s consentif a survivor wishes her identity to be concealed  demonstrate by shooting asmall video clip  of someone else in the family or a friend colleague who has	episode_done:True
text:come with you  against light  or from the back in a way that does not show the?	labels:interviewee s face  play back this small clip to the survivor and her family so thatthey feel reassuredthe choice of speaking out or not  revealing identity or not is ultimately that ofthe survivor sif the survivor is a minor  we will not reveal name or face  even though parentsor guardians may want to do sokhel badal  dismantle patriarchy       42    www  videovolunteers  orgsexual violencebackground     sexual violence is a sexual act perpetrated against someone without theperson s freely given consent  including an attempt to engage in such an act using violencecoercion  making unwanted sexual advancesthe use of sexual violence against women  rape in particular has a long history  rape is thefourth most common crime in india  according to the  national crime records bureau  2013annual report  24 923   rape  cases were reported across india in 2012  out of these  24 470were committed by someone known to the victim  98  of the casesrape is a non bailable offence in india  except for  marital rape    a woman whose husbandrapes her can only seek recourse under the protection of women from domestic violence act2005   a civil law which offers protection to the victim  but has no scope for punishing theperpetratorhistory and tradition make the law hard to enforce  in remote and rural parts  patriarchal viewson gender still hold sway  and sexual assault is an unofficially accepted form of punishmentpatriarchal views are also propagated by insensitivity of the police  who at times refuse to filean fir and a society that blames a survivor for rapesexual violence against women   revenge rape  and rape as a tool to propagate caste basedatrocities are deeply entrenched in rural areas  women represent the  honor  of theircommunity and are viewed as family or community propertywhat constitutes sexual violenceafter the brutal of 23 year gang rape and murder paramedic in new delhi in december 2012the indian penal code was amended in 2013  through the criminal law amendment act  2013the amendment included new definitions of what constitutes sexual violence   harassmentthat is punishable by law  the definitions of sexual violence according to the law are as followsassault  section 354b   includes using criminal force  or attempting to disrobe a womanvoyeurism  section 354c   includes watching  capturing or sharing images of a womanengaged in a private act  against her will or without her consentstalking  section 354d   includes following or contacting a woman repeatedly even after sheclearly indicates her disinterestkhel badal  dismantle patriarchy       43    www  videovolunteers  orgtrafficking  section 370   includes recruiting  transporting  harbouring  transferring or receivinga person for the purpose of exploitation  using threats  force  deception  abuse of power orthrough giving or receiving paymentsrape  section 375   includes penetration of penis  penetration of any other part into thewoman s vagina or forcing her to do so with him or someone else  manipulation of any part ofher body to cause vaginal or anal penetration or penetration of any other body part  applicationof his mouth on a woman s vagina  anus  urethra or forcing her to do so with him or anyoneelse  without the woman s consentkhel badal  dismantle patriarchy       44    www  videovolunteers  orgrights of a survivorfiling an fir and protocols for the police	episode_done:True
text:an fir  first information report  is the survivor s account of the crime  however  a need?	labels:not necessarily be the one who files the fir  a witness to the incident  or a friend whohas sufficient knowledge of the crime  can also file an fir on the survivor s behalf  theymust do so only once they have her full consent  along with her willingness to be part ofthe investigation that will follow  remember  that this is the first document that thepolice will prepare to initiate investigationswhile every woman who has experienced sexual violence has the right to report	episode_done:True
text:whether she does so or not  is ultimately her choice the police  however  cannot?	labels:refuse to file an fir  a police personnel who refuses to file an fir is violating the rightsof a survivor and can face a penalty of up to two years of imprisonmentif a police officer or police station refuses to register an fir you can appeal to a higherauthority  for instance an sp or dcp   if they refuse  then go to a magistrate  for exampledistrict magistrate  chief judicial magistrate or chief metropolitan magistratean fir can be registered at any police station  the report will then be transferred to thestation it concernsthe complainant need not be physically present to start the process of lodging an firshe can call or send an e mailif the woman is mentally or physically disabled  either temporarily or permanently  thepolice officer must go to her home or a place convenient for her to register thecomplaint  if the offence registered is rape  the same procedure is applicablein the case of offences like sexual harassment  voyeurism  stalking  rape   gang rapethe report must only be recorded by a woman police officer   once the report isprepared  it is mandatory for the officer to read it back to the survivor  so that she canverify that her account has been taken down exactly the way it was narrated  if theofficer does not read it out  the survivor has the right to ask her to do soa survivor should feel free to and not hesitate to ask for changes to be made to ensurethat the report is clear and accuratea survivor must always cross check details in her report and get her own copyonce the survivor receives a copy of the fir  the investigating officer should producethe survivor in front of a magistrate within 24 hours to record her statementevery survivor is entitled to a court appointed lawyera  survivor can call up the investigating officer for updates on the status of theinvestigationthe police shall not reveal the identity of the victim to the media or to the publica woman or a child shall not be detained in a police station overnightif the victim needs a translator the same shall be providedkhel badal  dismantle patriarchy       45    www  videovolunteers  orgwithin 24 hours of receiving information the victim shall be taken to the nearesthospital for medical examination and careif the victim has any other special needs  the same shall be metif the survivor is a childthe statement shall be recorded at a place where the child resides or where the childfeels comfortablethe officer recording the statement shall not be below the rank of sub inspector andshould preferably be a woman officerthe police officer shall not be in uniformthe child shall not come in contact in any way with the accuseda person who the child trusts shall be presentfor mentally or physically  temporary or permanent  disabled child  a special educatorexpert may be called if possible  the statement of the child may be recorded usingaudio video electronicif required  the police shall take the child to the nearest shelter home for emergencyshelter and produce the child before the child welfare committee  cwcthe police shall report all cases of child sexual offences to the child welfare committeeand special court within 24 hoursmedical examinationmedical examinations can only be conducted with the survivor s consenta person who the victim trusts shall be present at the time of medical examinationa female victim shall be examined only by a lady doctorthe police shall ensure the samples collected from the hospital are sent to the forensiclaboratory at the earliestthe medical practitioner shall treat the survivor for cuts  bruises  bodily and genitalinjuries  exposure to stds   hiv  s he shall discuss possible pregnancy and emergencycontraceptives with the survivorall hospitals are mandated to give free first aid treatment to survivors  and aremandated under the law to report the incident to the policethe supreme court in 2014 banned the two finger test to determine rape  andinternational standards state that any medical tests done should be non invasive  if thesurvivor does consent  then the tests must only be done by a registered medicalpractitionerthe victim may be referred for mental  psychological or other counsellingnon treatment of a victim by a hospital is an offence punishable with imprisonment for aterm which may extend to one year or fine or bothkhel badal  dismantle patriarchy       46    www  videovolunteers  orgreporting   interview tipswhen you come across a case of sexual violence  knowing the rights of a survivor  theprocess of filing an fir and protocols for police and doctors  will help you examine anddocument the sexual survivor s experience in seeking recourse and report in detail onthe violations faced and perpetrated by police or medical practitioners  read throughthe sections above carefully before you meet the survivorfirst  have a conversation with the survivor  without  taking out your cameraensure that you have informed consent before filmingin case the survivor is an adult  do not reveal the name and identity of the survivor inyour video unless you have her consent or the family s consent in case of death ofthe victimdo get the age of the survivorif the survivor is a minor  his her identity   name and face cannot be revealed  shoot ina way that doesn t reveal the identity of the survivorensure that the survivor or the family member you are interviewing is seatedcomfortablydo not keep asking her to repeat details of the instance of sexual violence  do notpress for details if you see the survivor breaking down  you can come back to details ata time when she is ready to talk or  get the details from another individual who is awareof the case and include it in your p2cchecklistthe following points are very important to bear in mind as you speak with the survivor  ideallyyou should record one v o to cover the following details	episode_done:True
text:experience with the police  did they cooperate? were they sensitive?  refer to section	labels:titled  rights of a survivor   filing an fir and protocols for police  above	episode_done:True
text:how was the medical test conducted?    to check if the banned two finger test was	labels:conducted you can get a copy of the medico legal examination and run it by a doctor  ifyou have trouble verifying the mlc  reach out to the goa t mremember   it is crucial to establish  violations   see above section   merely narrating what	episode_done:True
text:happened  gory details  is not enough  you need to say how rights of the survivor  legal?	labels:procedures  police protocols have been violatedkhel badal  dismantle patriarchy       47    www  videovolunteers  orgmarital rapebackground    there is no criminal law that gives women the right to say no to forced sexualintercourse within a marriage and perpetrators to be punished  this means that a woman inindia is denied the most fundamental right of self determination over her bodythe only legal recourse available to women facing sexual violence within a marriage is the the	episode_done:True
text:protection to the victim  but has no scope of punishing the perpetrator  which is why a criminal?	labels:law against marital rape is neededa man can also be accused of rape for having sexual intercourse with his wife if the wife is	episode_done:True
text:below 15 years of age  however  the clause in itself is a contradiction since the legal age of?	labels:marriage for women in the country is 18 yearswhile intervening or reporting on a case of marital rape  you must follow protocols laid out inthe beginning of this section  interviewing tips   reporting checklist remain the same as in thesexual violence section	episode_done:True
text:such a case gives you a chance to say why we need a criminal law dealing with marital rape?	labels:legal tip  a leg al case will be filed under the domestic violence act  2005 since there is no	episode_done:True
text:criminal law to deal with it  however  since it is a civil law it does not have the scope to punish?	labels:the perpetratorkhel badal  dismantle patriarchy       48    www  videovolunteers  orgdomestic violencebackground     from 50 703 in 2003  the number of reported domestic violence cases hasgone up to 118 866 in 2013   an increase of 134  over 10 yearsdomestic violence is not unique to india  it occurs around the world  but what sets it apart inindia from many other countries is the culture of silence that still surrounds itaccording to a family survey done by the government  more than 54  of men and 51  ofwomen said that it was okay for a man to beat his wife if she disrespected her in lawsneglected her home or children  or even over something as trivial as putting less   or moresalt in the foodin 2005  the indian government passed the protection of women from domestic violence actthe law includes verbal  physical  sexual or economic abuse   whether actual or threatenedthis means that all of the following constitute as domestic violencehitting  punching  slapping  choking or shovingdestruction of personal propertyif a partner prevents a woman from seeing friends and familyinsults in public and or in privateexerting control over finances	episode_done:True
text:showing extreme jealousy or accusation of infidelity?	labels:if a partner forces sex upon a womandowry harassmentfilling a case on domestic violencesoure    http   www bellbajao org home resources the law pwdvaa woman or somebody on her behalf  can approach the following to file a direct informationreport  dir  with one of the followingthe protection officer  po   who is appointed by the government  the po registers the dirpresents it before the magistrate and ensures that the orders passed by the court areenforcedkhel badal  dismantle patriarchy       49    www  videovolunteers  orga service provider    a voluntary organization registered with the state government  serviceproviders assist in filing the dir with the po  provide her with legal aid  medical carecounseling or any other supportthe police  can file a criminal complaint under section 498a of the ipc  on request the policewill record a dir under the pwdva at the same time and forward the same to the magistratethe magistrate    a woman can directly approach the magistrate s court to file a dir under thepwdva  if the woman already has a pending case  then she can fill in an application under thepwdva and file it as an  interim application  in the pending proceedingsremember that protocols for you to report on a case of domestic violence remain the sameas those of sexual violencereporting   interview tipsyour interview with the survivor should be conversational and not a rapid fire ofquestions on camera  to ensure this  spend at least one full day with the survivor tobuild a rapport with her before you interview her on camerayou could utilize this day to get good b rollswhile it is important to talk to the survivor about the form of violence faced   do notlimit your conversation to thathave conversations with the survivor to understand what it took for her to say no to theviolence or to walk out of the marriage  was she financially dependent on her	episode_done:True
text:violence?	labels:whether or not she files an fir  is her choice  yet  do ask her what made her file an fir	episode_done:True
text:and  if she chose not to  talk to her to understand why?	labels:checklist	episode_done:True
text:did they refuse to file an fir? if an fir was filed  what is happening in the case?	labels:khel badal  dismantle patriarchy       50    www  videovolunteers  orgacid attacksbackground    acid throwing is an offence under section 326 of the indian penal codethe minimum punishment is 10 years  imprisonment  it can extend up to life imprisonment withfine  this law was brought in 2013 with the amendments in laws dealing with sexualharassment on the recommendations of the justice verma committeein 2013 the supreme court has laid down several guidelines for compensation and medicaltreatment of survivors as well as regulation of acid saleyet   in 2014  309 acid attacks were reported from across indiain most acid attack cases  the perpetrator is known  and more often than not  it is a man whoseadvances a woman has rejected  acid attacks cause grievous injuries  permanent disabilitiesoften leaving survivors in despair  acid attack victims have been rejected jobs due to facialdisfigurementsupreme court of india directives on treatment andrehabilitation of acid attack survivorsfull medical assistance  free treatment  bed  food  water and medicines  should beprovided for survivors of acid attacks by government run and private hospital  nohospital can refuse to treat acid attack survivors citing lack of specialized services  firstaid should be administered and after stabilization the survivor may be shifted to aspecialized facilityaction can be taken against hospitals clinics for refusing to treat survivors of acidattackin laxmi s case in 2014  the supreme court of india mandated that acid attack survivorsshould be given a minimum compensation of  rs 3 lakh within 15 daysin december 2015  in a writ petition filed by parivartan kendra in the case of acidattack on sisters  chanchal and sonam paswan enhanced the compensationamount to 10 lakh  in doing so  the court said   the mandate given by this courtin  laxmi s case  nowhere restricts the court from giving more compensation tothe victim of acid attack  especially when the victim has suffered serious injurieson her body which is required to be taken into consideration by this court  inpeculiar facts  this court can grant even more compensation to the victim than3 00 000compensation in cases of acid attacks is released by the district legal servicesauthoritythe hospital where the acid attack survivor is first treated should give acertificate that the individual is a victim of an acid attack  this certificate can bekhel badal  dismantle patriarchy       51    www  videovolunteers  orgutilized by the survivor for treatment  reconstructive surgeries or any otherschemes for survivors by the state or union governmentsupreme court of india guidelines on regulating sale of acid tocurb acid attacksover the counter  sale of acid is completely prohibited unless  shopkeepers maintain adaily record of buyers and the quantity of acid soldsellers shall sell acid only after the buyer has produced before them a proof of identityresidential address and telephone number and has  specified the purpose  ofpurchasing acidall stocks of acid must be declared by the seller with the concerned sub divisionalmagistrate  sdm  within 15 daysin case that undeclared stock of acid is discovered  it will be up to the concerned sdmto confiscate the stock and impose suitable fine on such seller of up to rs  50 000acid sold in retail must be so diluted that it does not have any corrosive effect onhumansacid will not be sold to anyone below the age of 18the concerned sdm may impose a fine of up to rs  50 000   on any person whocommits breach of any of the above directionsfor intervention in the case  check for which of the guidelines from the two sets above havenot been followed   record one voice over with just these detailsreporting   interview tipsthe following points are very important to bear in mind as you speak with the survivorwhether you making a video or writing down the interview or writing it for your votips while filming interviewingyou must follow protocols for reporting and intervention in the beginning of thegender based violence sectionidentity  do get the age of the survivor  if she is a minor  her identity   name and facecannot be revealed  shoot in a way that doesn t reveal the identity of the survivordo not keep asking her to repeat details of her assault  do not press for details if yousee the survivor breaking down  you can come back to details at a time when she isready to talk or  get the details from another individual who is aware of the case andinclude it in your p2censure that the family of the survivor is seated comfortably during your interviewchecklistcheck if an fir has been filed  if yes  do ask the survivor about her experience with the	episode_done:True
text:police  did they cooperate? were they sensitive?	labels:khel badal  dismantle patriarchy       52    www  videovolunteers  orghas the district legal services authority released compensation for the survivor as per	episode_done:True
text:who are the accused?	labels:what is the motive of the crime according to the pokhel badal  dismantle patriarchy       53    www  videovolunteers  orgdowrybackground    the tradition of paying dowry at the time of a daughter s marriage is rampantdespite the dowry prohibition act  1961  this amount can be so huge that many parents go toextreme lengths to avoid having a daughter in the first placemany people especially men s groups criticize the anti dowry laws saying  w                    omen and their	episode_done:True
text:families misuse the laws  however  despite these laws  dowry harassment and other related?	labels:abuses continue and  dowry deaths  are common  in 2010  8 339 dowry related murders orsuicides were reported across indiacase study   mita had been married for merely 2 months when she left her in laws  housebecause she could not bear mental and physical harassment by her husband and his familyshe came to her parents  house in sandhida village with her three year old son  her in lawsasked her to bring jewelry and cash but mita refused to do so as she was severely beaten with	episode_done:True
text:a stick and was branded by a hot iron  however  her parents insisted that she must try and?	labels:make her marriage work otherwise it would shame the family  tweak case study with   what ifgirl has siblingsreporting   interview tipsa lot of women come back to their parents  homes due to violence related to dowryharassment  you should interview the woman as well as her parentsin your interview the woman  don t focus on the incident violence itself  when shereturned etc  you need to explore the threshold   at what point did she say enough is	episode_done:True
text:enough and walk out?	labels:in the interview talk to parents about dowry   ask them if they would have given the	episode_done:True
text:if they have a son  ask  will you be seeking dowry when you get your son married?	labels:b rolls   photo albums of marriage  sequences of the woman and family  shots ofvillage  surroundings and neighbourhoodkhel badal  dismantle patriarchy       54    www  videovolunteers  org	episode_done:True
